rank,score,filename,path,categories,toposheet
41,22,Fullreport_ RDIC_17_18.pdf,data/external/karnataka_ap/technical_reports/Technical GSI Reports_PDFs_GIS_Spreadsheets etc/57F05/Non Georeference & other/SRO-15173/Fullreport_ RDIC_17_18.pdf,greenstone_framework|structural_control|metallogenic_episode,57F
42,22,rdic_final_report.pdf,data/external/karnataka_ap/technical_reports/Technical GSI Reports_PDFs_GIS_Spreadsheets etc/57F04/Non Georeference & other/SRO-14506/rdic_final_report.pdf,greenstone_framework|structural_control|deposit_footprint|metallogenic_episode,57F
43,22,Fullreport_ RDIC_17_18.pdf,data/external/karnataka_ap/technical_reports/Technical GSI Reports_PDFs_GIS_Spreadsheets etc/57F02/Non Georeference & other/SRO-15173/Fullreport_ RDIC_17_18.pdf,greenstone_framework|structural_control|metallogenic_episode,57F
44,22,SRO_12222_1994_1995_REPORT_1.pdf,data/external/karnataka_ap/technical_reports/Technical GSI Reports_PDFs_GIS_Spreadsheets etc/57C09/Report Exploration/SRO-12222/SRO_12222_1994_1995_REPORT_1.pdf,greenstone_framework|deposit_footprint|metallogenic_episode,57C
45,22,Fullreport_ RDIC_17_18.pdf,data/external/karnataka_ap/technical_reports/Technical GSI Reports_PDFs_GIS_Spreadsheets etc/57F06/Non Georeference & other/SRO-15173/Fullreport_ RDIC_17_18.pdf,greenstone_framework|structural_control|metallogenic_episode,57F
46,22,SRO_13940_2002_2004_REPORT_2.pdf,data/external/karnataka_ap/technical_reports/Technical GSI Reports_PDFs_GIS_Spreadsheets etc/57C01/Non Georeference & other/SRO-13940/SRO_13940_2002_2004_REPORT_2.pdf,greenstone_framework|deposit_footprint,57C
47,22,M1AGS-STM-NC-SR-SUKG-2022-42542.pdf,data/external/karnataka_ap/technical_reports/Technical GSI Reports_PDFs_GIS_Spreadsheets etc/57C01/Report Exploration/SRO-16314/M1AGS-STM-NC-SR-SUKG-2022-42542.pdf,greenstone_framework|structural_control|metallogenic_episode,57C
48,22,11754.pdf,data/external/karnataka_ap/technical_reports/Technical GSI Reports_PDFs_GIS_Spreadsheets etc/57A14/Report Geology/SRO-11754/11754.pdf,greenstone_framework|deposit_footprint,57A
49,22,12019.pdf,data/external/karnataka_ap/technical_reports/Technical GSI Reports_PDFs_GIS_Spreadsheets etc/57B08/Non Georeference & other/SRO-12019/12019.pdf,greenstone_framework|deposit_footprint,57B
50,21,8736.pdf,data/external/karnataka_ap/technical_reports/Technical GSI Reports_PDFs_GIS_Spreadsheets etc/57B04/Report Geophysical/SRO-8736/8736.pdf,greenstone_framework|structural_control|deposit_footprint|metallogenic_episode,57B
